id,host_id,host_since,host_is_superhost,host_listings_count,host_total_listings_count,host_identity_verified,neighbourhood_cleansed,latitude,longitude,room_type,accommodates,bedrooms,beds,price,minimum_nights,availability_365,number_of_reviews,review_scores_rating,reviews_per_month,Superhost_Status,price_per_guest,host_size_group
7.5082E+17,28066838,2015-02-20,f,1,1,t,Kitsilano,49.27,-123.16,Entire home/apt,4,1,2,14.00,30,281,0,,,No,3.50,Single Listing Host
8.71972E+17,485530982,2022-10-29,f,1,2,t,Kitsilano,49.26,-123.18,Shared room,1,,1,14.00,31,166,0,,,No,14.00,Multi Listing Host
36696946,275820030,2019-07-13,f,1,5,t,Victoria-Fraserview,49.22,-123.07,Entire home/apt,6,2,3,21.00,1,0,16,4.75,0.34,No,3.50,Multi Listing Host
39106874,20440735,2014-08-23,f,1,1,f,Hastings-Sunrise,49.28,-123.04,Entire home/apt,13,13,13,25.00,31,0,0,,,No,1.92,Single Listing Host
45506921,363419014,2020-08-20,f,1,19,t,Kensington-Cedar Cottage,49.26,-123.08,Private room,1,1,1,25.00,30,308,0,,,No,25.00,Multi Listing Host
9201061,47789746,2015-10-30,f,1,1,t,Victoria-Fraserview,49.22,-123.08,Shared room,1,,2,27.00,180,0,2,2.00,0.03,No,27.00,Single Listing Host
21935365,50668496,2015-12-06,,1,2,t,Kensington-Cedar Cottage,49.26,-123.07,Private room,2,,1,27.00,1,0,0,,,Missing,13.50,Multi Listing Host
29659260,48023110,2015-11-02,f,1,2,t,Downtown Eastside,49.28,-123.10,Entire home/apt,1,,1,27.00,31,0,0,,,No,27.00,Multi Listing Host
47341208,11067913,2014-01-06,,4,13,t,Kensington-Cedar Cottage,49.26,-123.07,Private room,1,,1,27.00,30,99,7,4.43,0.28,Missing,27.00,Multi Listing Host
36108913,271614397,2019-06-26,,1,1,f,Marpole,49.21,-123.13,Private room,2,,1,28.00,1,0,4,3.75,0.09,Missing,14.00,Single Listing Host
43231224,11067913,2014-01-06,,4,13,t,Kensington-Cedar Cottage,49.26,-123.07,Private room,1,,1,28.00,30,0,5,4.20,0.14,Missing,28.00,Multi Listing Host
796603,4196444,2012-11-20,f,1,1,t,West End,49.28,-123.14,Shared room,1,,1,30.00,30,0,0,,,No,30.00,Single Listing Host
40686518,315789354,2019-12-09,,1,2,t,Renfrew-Collingwood,49.24,-123.06,Private room,2,,1,30.00,1,0,0,,,Missing,15.00,Multi Listing Host
42439466,191577153,2018-05-25,,4,4,t,Kensington-Cedar Cottage,49.26,-123.08,Private room,1,,1,30.00,30,0,3,5.00,0.08,Missing,30.00,Multi Listing Host
37176044,191577153,2018-05-25,,4,4,t,Kensington-Cedar Cottage,49.26,-123.08,Private room,1,,1,31.00,30,2,14,4.93,0.4,Missing,31.00,Multi Listing Host
37591826,284010414,2019-08-08,,1,3,t,Marpole,49.21,-123.12,Private room,1,,1,31.00,30,0,0,,,Missing,31.00,Multi Listing Host
42458406,236252603,2019-01-13,,4,4,t,Kensington-Cedar Cottage,49.26,-123.07,Private room,1,,1,31.00,30,43,7,5.00,0.18,Missing,31.00,Multi Listing Host
42458461,191577153,2018-05-25,,4,4,t,Kensington-Cedar Cottage,49.26,-123.07,Private room,1,,1,31.00,30,1,7,4.43,0.18,Missing,31.00,Multi Listing Host
43232530,5041866,2013-02-10,,3,3,t,Oakridge,49.22,-123.12,Private room,1,,1,32.00,30,0,2,5.00,0.06,Missing,32.00,Multi Listing Host
43335892,5041866,2013-02-10,,3,3,t,Oakridge,49.22,-123.12,Private room,1,,1,32.00,30,0,0,,,Missing,32.00,Multi Listing Host
52535875,11067913,2014-01-06,,4,13,t,Kensington-Cedar Cottage,49.26,-123.07,Private room,1,,1,32.00,36,63,4,5.00,0.22,Missing,32.00,Multi Listing Host
20394031,5710465,2013-04-01,,1,4,t,Grandview-Woodland,49.27,-123.06,Private room,1,,1,33.00,60,0,2,4.50,0.04,Missing,33.00,Multi Listing Host
41489166,135034885,2017-06-14,,1,1,t,Kitsilano,49.26,-123.18,Private room,1,,1,33.00,30,0,0,,,Missing,33.00,Single Listing Host
46727775,249232724,2019-03-16,,2,2,t,Sunset,49.21,-123.10,Private room,1,,1,33.00,30,0,0,,,Missing,33.00,Multi Listing Host
18231285,125891752,2017-04-14,,4,4,t,Fairview,49.26,-123.13,Private room,2,,1,35.00,30,0,30,4.83,0.46,Missing,17.50,Multi Listing Host
23902297,138741347,2017-07-05,,2,2,t,South Cambie,49.25,-123.13,Private room,1,,1,35.00,30,165,1,4.00,1,Missing,35.00,Multi Listing Host
35015685,156460473,2017-10-27,,3,24,t,Oakridge,49.22,-123.12,Private room,2,,1,35.00,30,21,20,4.25,0.42,Missing,17.50,Multi Listing Host
42715387,37753475,2015-07-07,,2,2,t,Renfrew-Collingwood,49.24,-123.04,Private room,1,,,35.00,2,0,1,4.00,0.03,Missing,35.00,Multi Listing Host
49460681,138741347,2017-07-05,,2,2,t,South Cambie,49.25,-123.12,Private room,1,,1,35.00,30,165,3,4.00,0.18,Missing,35.00,Multi Listing Host
